WORD_TOKENIZE,POS,TAG,BOUNDARY,SENTENCE
ผัด,NCMN,I-FOOD,None,Sentence: 104
ผง,NCMN,I-FOOD,None,Sentence: 104
กะหรี่,NCMN,I-FOOD,None,Sentence: 104
โต๊ะ,NCMN,O,None,Sentence: 104
3,NCNM,B-TABLE,None,Sentence: 104
ผม,PPRS,O,None,Sentence: 104
เตรียม,VACT,B-COMMAND_1,None,Sentence: 104
ให้,JSBR,O,None,Sentence: 104
แล้ว,ADVN,O,None,Sentence: 104
ครับ,VACT,O,END,Sentence: 104
หนู,NCMN,O,START,Sentence: 105
เตรียม,VACT,B-COMMAND_1,None,Sentence: 105
ไว้,XVAE,O,None,Sentence: 105
แล้ว,XVAE,O,None,Sentence: 105
ค่ะ,NCMN,O,None,Sentence: 105
ปู,NCMN,B-FOOD,None,Sentence: 105
ผัด,NCMN,I-FOOD,None,Sentence: 105
ผง,NCMN,I-FOOD,None,Sentence: 105
กะหรี่,NCMN,I-FOOD,None,Sentence: 105
ออเดอร์,NCMN,O,None,Sentence: 105
ของ,RPRE,O,None,Sentence: 105
โต๊ะ,NCMN,O,None,Sentence: 105
4,NCNM,B-TABLE,None,Sentence: 105
ค่ะ,NCMN,O,END,Sentence: 105
เชฟ,NCMN,O,START,Sentence: 106
ค่ะ,NCMN,O,None,Sentence: 106
ปู,NCMN,B-FOOD,None,Sentence: 106
ผัด,NCMN,I-FOOD,None,Sentence: 106
ผง,NCMN,I-FOOD,None,Sentence: 106
กะหรี่,NCMN,I-FOOD,None,Sentence: 106
เตรียม,VACT,B-COMMAND_1,None,Sentence: 106
ให้,JSBR,O,None,Sentence: 106
แล้ว,ADVN,O,None,Sentence: 106
ค้า,VACT,O,None,Sentence: 106
ออเดอร์,NCMN,O,None,Sentence: 106
โต๊ะ,NCMN,O,None,Sentence: 106
5,NCNM,B-TABLE,None,Sentence: 106
กับ,RPRE,O,None,Sentence: 106
โต๊ะ,NCMN,O,None,Sentence: 106
6,NCNM,B-TABLE,END,Sentence: 106
ปู,NCMN,B-FOOD,START,Sentence: 107
ผัด,NCMN,I-FOOD,None,Sentence: 107
ผง,NCMN,I-FOOD,None,Sentence: 107
กะหรี่,NCMN,I-FOOD,None,Sentence: 107
ออเดอร์,NCMN,O,None,Sentence: 107
ของ,RPRE,O,None,Sentence: 107
โต๊ะ,NCMN,O,None,Sentence: 107
3,DCNM,B-TABLE,None,Sentence: 107
แล้วก็,CNIT,O,None,Sentence: 107
โต๊ะ,CMTR,O,None,Sentence: 107
4,NCNM,B-TABLE,None,Sentence: 107
เตรียม,VACT,B-COMMAND_1,None,Sentence: 107
ให้,JSBR,O,None,Sentence: 107
แล้ว,ADVN,O,None,Sentence: 107
ครับ,VACT,O,END,Sentence: 107
เชฟ,NCMN,O,START,Sentence: 108
ผม,PPRS,O,None,Sentence: 108
เตรียม,VACT,B-COMMAND_1,None,Sentence: 108
ไว้,XVAE,O,None,Sentence: 108
ให้,XVAE,O,None,Sentence: 108
แล้ว,ADVN,O,None,Sentence: 108
ครับ,VACT,O,None,Sentence: 108
ปู,NCMN,B-FOOD,None,Sentence: 108
ผัด,NCMN,I-FOOD,None,Sentence: 108
ผง,NCMN,I-FOOD,None,Sentence: 108
กะหรี่,NCMN,I-FOOD,None,Sentence: 108
โต๊ะ,NCMN,O,None,Sentence: 108
3,NCNM,B-TABLE,None,Sentence: 108
กับ,RPRE,O,None,Sentence: 108
โต๊ะ,NCMN,O,None,Sentence: 108
6,NCNM,B-TABLE,END,Sentence: 108
เตรียม,VACT,B-COMMAND_1,START,Sentence: 109
ให้,JSBR,O,None,Sentence: 109
แล้ว,ADVN,O,None,Sentence: 109
นะ,VACT,O,None,Sentence: 109
ครับ,NCMN,O,None,Sentence: 109
เชฟ,NCMN,O,None,Sentence: 109
ปู,NCMN,B-FOOD,None,Sentence: 109
ผัด,NCMN,I-FOOD,None,Sentence: 109
ผง,NCMN,I-FOOD,None,Sentence: 109
กะหรี่,NCMN,I-FOOD,None,Sentence: 109
ของ,RPRE,O,None,Sentence: 109
โต๊ะ,NCMN,O,None,Sentence: 109
9,NCNM,B-TABLE,END,Sentence: 109
ปู,NCMN,B-FOOD,START,Sentence: 110
ผัด,NCMN,I-FOOD,None,Sentence: 110
ผง,NCMN,I-FOOD,None,Sentence: 110
กะหรี่,NCMN,I-FOOD,None,Sentence: 110
เตรียม,VACT,B-COMMAND_1,None,Sentence: 110
เสร็จ,ADVN,O,None,Sentence: 110
แล้ว,XVAE,O,None,Sentence: 110
ครับ,VACT,O,None,Sentence: 110
โต๊ะ,NCMN,O,None,Sentence: 110
5,NCNM,B-TABLE,END,Sentence: 110
ปู,NCMN,B-FOOD,START,Sentence: 111
ผัด,NCMN,I-FOOD,None,Sentence: 111
ผง,NCMN,I-FOOD,None,Sentence: 111
กะหรี่,NCMN,I-FOOD,None,Sentence: 111
ขา,NCMN,O,None,Sentence: 111
โต๊ะ,NCMN,O,None,Sentence: 111
6,NCNM,B-TABLE,None,Sentence: 111
เตรียม,VACT,B-COMMAND_1,None,Sentence: 111
แล้ว,XVAE,O,None,Sentence: 111
ครับ,VACT,O,END,Sentence: 111
โต๊ะ,NCMN,O,START,Sentence: 112
6,NCNM,B-TABLE,None,Sentence: 112
เตรียม,VACT,B-COMMAND_1,None,Sentence: 112
แล้ว,XVAE,O,None,Sentence: 112
ค้าบ,VACT,O,None,Sentence: 112
ปู,NCMN,B-FOOD,None,Sentence: 112
ผัด,NCMN,I-FOOD,None,Sentence: 112
ผง,NCMN,I-FOOD,None,Sentence: 112
กะหรี่,NCMN,I-FOOD,END,Sentence: 112
ผม,PPRS,O,START,Sentence: 113
เตรียม,VACT,B-COMMAND_1,None,Sentence: 113
ไว้,XVAE,O,None,Sentence: 113
แล้ว,XVAE,O,None,Sentence: 113
นะ,ADVN,O,None,Sentence: 113
ครับ,NCMN,O,None,Sentence: 113
ปู,NCMN,B-FOOD,None,Sentence: 113
ผัด,NCMN,I-FOOD,None,Sentence: 113
ผง,NCMN,I-FOOD,None,Sentence: 113
กะหรี่,NCMN,I-FOOD,None,Sentence: 113
ออเดอร์,NCMN,O,None,Sentence: 113
ของ,RPRE,O,None,Sentence: 113
โต๊ะ,NCMN,O,None,Sentence: 113
6,NCNM,B-TABLE,END,Sentence: 113
เชฟ,NCMN,O,START,Sentence: 114
ขา,NCMN,O,None,Sentence: 114
ปู,NCMN,B-FOOD,None,Sentence: 114
ผัด,NCMN,I-FOOD,None,Sentence: 114
ผง,NCMN,I-FOOD,None,Sentence: 114
กะหรี่,NCMN,I-FOOD,None,Sentence: 114
ออเดอร์,NCMN,O,None,Sentence: 114
ของ,RPRE,O,None,Sentence: 114
โต๊ะ,NCMN,O,None,Sentence: 114
8,DCNM,B-TABLE,None,Sentence: 114
หา,VACT,O,None,Sentence: 114
หนู,NCMN,O,None,Sentence: 114
เตรียม,VACT,B-COMMAND_1,None,Sentence: 114
ให้,JSBR,O,None,Sentence: 114
แล้ว,XVAE,O,None,Sentence: 114
นะคะ,VACT,O,END,Sentence: 114
เตรียม,VACT,B-COMMAND_1,START,Sentence: 115
ไว้,XVAE,O,None,Sentence: 115
ให้,XVAE,O,None,Sentence: 115
แล้ว,ADVN,O,None,Sentence: 115
ค่ะ,VACT,O,None,Sentence: 115
ปู,NCMN,B-FOOD,None,Sentence: 115
ผัด,NCMN,I-FOOD,None,Sentence: 115
ผง,NCMN,I-FOOD,None,Sentence: 115
กะหรี่,NCMN,I-FOOD,None,Sentence: 115
โต๊ะ,NCMN,O,None,Sentence: 115
5,NCNM,B-TABLE,END,Sentence: 115
ออเดอร์,NCMN,O,START,Sentence: 116
ของ,RPRE,O,None,Sentence: 116
โต๊ะ,NCMN,O,None,Sentence: 116
6,NCNM,B-TABLE,None,Sentence: 116
ที่,PREL,O,None,Sentence: 116
3,NCNM,B-TABLE,None,Sentence: 116
เป็น,VSTA,O,None,Sentence: 116
ปู,NCMN,B-FOOD,None,Sentence: 116
ผัด,NCMN,I-FOOD,None,Sentence: 116
ผง,NCMN,I-FOOD,None,Sentence: 116
กะหรี่,NCMN,I-FOOD,None,Sentence: 116
หนู,NCMN,O,None,Sentence: 116
เตรียม,VACT,B-COMMAND_1,None,Sentence: 116
ไว้,XVAE,O,None,Sentence: 116
ให้,JSBR,O,None,Sentence: 116
เสร็จ,ADVN,O,None,Sentence: 116
เรียบร้อย,ADVN,O,None,Sentence: 116
แล้ว,XVAE,O,None,Sentence: 116
ค่ะ,ADVN,O,END,Sentence: 116
ปู,NCMN,B-FOOD,START,Sentence: 117
ผัด,NCMN,I-FOOD,None,Sentence: 117
ผง,NCMN,I-FOOD,None,Sentence: 117
กะหรี่,NCMN,I-FOOD,None,Sentence: 117
โต๊ะ,NCMN,O,None,Sentence: 117
3,NCNM,B-TABLE,None,Sentence: 117
เตรียม,VACT,B-COMMAND_1,None,Sentence: 117
ให้,JSBR,O,None,Sentence: 117
เสร็จ,ADVN,O,None,Sentence: 117
เรียบร้อย,ADVN,O,None,Sentence: 117
แล้ว,XVAE,O,None,Sentence: 117
ค่ะ,ADVN,O,END,Sentence: 117
เตรียม,VACT,B-COMMAND_1,START,Sentence: 118
ให้,JSBR,O,None,Sentence: 118
แล้ว,ADVN,O,None,Sentence: 118
ค่า,NCMN,O,None,Sentence: 118
ค,NCMN,O,None,Sentence: 118
ปู,NCMN,B-FOOD,None,Sentence: 118
ผัด,NCMN,I-FOOD,None,Sentence: 118
ผง,NCMN,I-FOOD,None,Sentence: 118
กะหรี่,NCMN,I-FOOD,None,Sentence: 118
ออเดอร์,NCMN,O,None,Sentence: 118
ของ,RPRE,O,None,Sentence: 118
โต๊ะ,NCMN,O,None,Sentence: 118
6,NCNM,B-TABLE,END,Sentence: 118
ปู,NCMN,B-FOOD,START,Sentence: 119
ผัด,NCMN,I-FOOD,None,Sentence: 119
ผง,NCMN,I-FOOD,None,Sentence: 119
กะหรี่,NCMN,I-FOOD,None,Sentence: 119
โต๊ะ,NCMN,O,None,Sentence: 119
6,NCNM,B-TABLE,None,Sentence: 119
โต๊ะ,NCMN,O,None,Sentence: 119
7,NCNM,B-TABLE,None,Sentence: 119
เตรียม,VACT,B-COMMAND_1,None,Sentence: 119
แล้ว,XVAE,O,None,Sentence: 119
ครับ,VACT,O,END,Sentence: 119
เตรียม,VACT,B-COMMAND_1,START,Sentence: 120
ให้,JSBR,O,None,Sentence: 120
แล้ว,ADVN,O,None,Sentence: 120
ของ,RPRE,O,None,Sentence: 120
โต๊ะ,NCMN,O,None,Sentence: 120
8,DCNM,B-TABLE,None,Sentence: 120
ปู,NCMN,B-FOOD,None,Sentence: 120
ผัด,NCMN,I-FOOD,None,Sentence: 120
ผง,NCMN,I-FOOD,None,Sentence: 120
กะหรี่,NCMN,I-FOOD,END,Sentence: 120
ออเดอร์,NCMN,O,START,Sentence: 121
ของ,RPRE,O,None,Sentence: 121
โต๊ะ,NCMN,O,None,Sentence: 121
1,NCNM,B-TABLE,None,Sentence: 121
แล้วก็,RPRE,O,None,Sentence: 121
โต๊ะ,NCMN,O,None,Sentence: 121
3,DCNM,B-TABLE,None,Sentence: 121
ปู,NCMN,B-FOOD,None,Sentence: 121
ผัด,NCMN,I-FOOD,None,Sentence: 121
ผง,NCMN,I-FOOD,None,Sentence: 121
กะหรี่,NCMN,I-FOOD,None,Sentence: 121
เตรียม,VACT,B-COMMAND_1,None,Sentence: 121
ให้,JSBR,B-QUESTION,None,Sentence: 121
รึ,NCMN,I-QUESTION,None,Sentence: 121
ยัง,XVBM,I-QUESTION,None,Sentence: 121
อ่ะ,ADVP,O,END,Sentence: 121
ปู,NCMN,B-FOOD,START,Sentence: 122
ผัด,NCMN,I-FOOD,None,Sentence: 122
ผง,NCMN,I-FOOD,None,Sentence: 122
กะหรี่,NCMN,I-FOOD,None,Sentence: 122
โต๊ะ,NCMN,O,None,Sentence: 122
5,NCNM,B-TABLE,None,Sentence: 122
เตรียม,VACT,B-COMMAND_1,None,Sentence: 122
ให้,JSBR,B-QUESTION,None,Sentence: 122
ยัง,XVBM,I-QUESTION,END,Sentence: 122
เตรียม,VACT,B-COMMAND_1,START,Sentence: 123
ให้,JSBR,B-QUESTION,None,Sentence: 123
ยัง,XVBM,I-QUESTION,None,Sentence: 123
โต๊ะ,NCMN,O,None,Sentence: 123
9,NCNM,B-TABLE,None,Sentence: 123
ปู,NCMN,B-FOOD,None,Sentence: 123
ผัด,NCMN,I-FOOD,None,Sentence: 123
ผง,NCMN,I-FOOD,None,Sentence: 123
กะหรี่,NCMN,I-FOOD,END,Sentence: 123
เตรียม,VACT,B-COMMAND_1,START,Sentence: 124
ไว้,XVAE,B-QUESTION,None,Sentence: 124
แล้ว,XVAE,I-QUESTION,None,Sentence: 124
ใช่ไหม,VACT,I-QUESTION,None,Sentence: 124
ปู,NCMN,B-FOOD,None,Sentence: 124
ผัด,NCMN,I-FOOD,None,Sentence: 124
ผง,NCMN,I-FOOD,None,Sentence: 124
กะหรี่,NCMN,I-FOOD,None,Sentence: 124
โต๊ะ,NCMN,O,None,Sentence: 124
1,NCNM,B-TABLE,END,Sentence: 124
มี,VSTA,O,START,Sentence: 125
ใคร,PNTR,O,None,Sentence: 125
เตรียม,VACT,B-COMMAND_1,None,Sentence: 125
แล้ว,XVAE,B-QUESTION,None,Sentence: 125
หรือยัง,EITT,I-QUESTION,None,Sentence: 125
ปู,NCMN,B-FOOD,None,Sentence: 125
ผัด,NCMN,I-FOOD,None,Sentence: 125
ผง,NCMN,I-FOOD,None,Sentence: 125
กะหรี่,NCMN,I-FOOD,None,Sentence: 125
ของ,RPRE,O,None,Sentence: 125
ออเดอร์,NCMN,O,None,Sentence: 125
โต๊ะ,NCMN,O,None,Sentence: 125
3,NCNM,B-TABLE,END,Sentence: 125
มี,VSTA,O,START,Sentence: 126
ใคร,PNTR,O,None,Sentence: 126
เตรียม,VACT,B-COMMAND_1,None,Sentence: 126
ออเดอร์,NCMN,O,None,Sentence: 126
ของ,RPRE,O,None,Sentence: 126
โต๊ะ,NCMN,O,None,Sentence: 126
4,DCNM,B-TABLE,None,Sentence: 126
ที่,PREL,O,None,Sentence: 126
สั่ง,VACT,O,None,Sentence: 126
เป็น,VSTA,O,None,Sentence: 126
ปู,NCMN,B-FOOD,None,Sentence: 126
ผัด,NCMN,I-FOOD,None,Sentence: 126
ผง,NCMN,I-FOOD,None,Sentence: 126
กะหรี่,NCMN,I-FOOD,None,Sentence: 126
ให้,JSBR,B-QUESTION,None,Sentence: 126
ผม,PPRS,I-QUESTION,None,Sentence: 126
หรือยัง,EITT,I-QUESTION,END,Sentence: 126
เตรียม,VACT,B-COMMAND_1,START,Sentence: 127
ให้,JSBR,B-QUESTION,None,Sentence: 127
ยัง,XVBM,I-QUESTION,None,Sentence: 127
ครับ,VACT,O,None,Sentence: 127
ปู,NCMN,B-FOOD,None,Sentence: 127
ผัด,NCMN,I-FOOD,None,Sentence: 127
ผง,NCMN,I-FOOD,None,Sentence: 127
กะหรี่,NCMN,I-FOOD,None,Sentence: 127
โต๊ะ,NCMN,O,None,Sentence: 127
4,NCNM,B-TABLE,END,Sentence: 127
โต๊ะ,NCMN,O,START,Sentence: 128
4,NCNM,B-TABLE,None,Sentence: 128
ที่,PREL,O,None,Sentence: 128
เป็น,VSTA,O,None,Sentence: 128
ปู,NCMN,B-FOOD,None,Sentence: 128
ผัด,NCMN,I-FOOD,None,Sentence: 128
ผง,NCMN,I-FOOD,None,Sentence: 128
กะหรี่,NCMN,I-FOOD,None,Sentence: 128
ไม่,NEG,O,None,Sentence: 128
เผ็ด,VSTA,O,None,Sentence: 128
เตรียม,VACT,B-COMMAND_1,None,Sentence: 128
ให้,JSBR,B-QUESTION,None,Sentence: 128
ยัง,XVBM,I-QUESTION,None,Sentence: 128
ครับ,VACT,O,END,Sentence: 128
หมึก,NCMN,B-FOOD,START,Sentence: 129
ผัด,NCMN,I-FOOD,None,Sentence: 129
ซอส,NCMN,I-FOOD,None,Sentence: 129
ไข่เค็ม,NCMN,I-FOOD,None,Sentence: 129
โต๊ะ,NCMN,O,None,Sentence: 129
2,NCNM,B-TABLE,None,Sentence: 129
ผม,PPRS,O,None,Sentence: 129
เตรียม,VACT,B-COMMAND_1,None,Sentence: 129
ให้,JSBR,O,None,Sentence: 129
แล้ว,ADVN,O,None,Sentence: 129
ครับ,VACT,O,END,Sentence: 129
ผม,PPRS,O,START,Sentence: 130
เตรียม,VACT,B-COMMAND_1,None,Sentence: 130
ให้,JSBR,O,None,Sentence: 130
แล้ว,ADVN,O,None,Sentence: 130
ครับ,VACT,O,None,Sentence: 130
หมึก,NCMN,B-FOOD,None,Sentence: 130
ผัด,NCMN,I-FOOD,None,Sentence: 130
ซอส,NCMN,I-FOOD,None,Sentence: 130
ไข่เค็ม,NCMN,I-FOOD,None,Sentence: 130
โต๊ะ,NCMN,O,None,Sentence: 130
4,NCNM,B-TABLE,END,Sentence: 130
ของ,RPRE,O,START,Sentence: 131
โต๊ะ,NCMN,O,None,Sentence: 131
4,NCNM,B-TABLE,None,Sentence: 131
ผม,PPRS,O,None,Sentence: 131
เตรียม,VACT,B-COMMAND_1,None,Sentence: 131
ให้,JSBR,O,None,Sentence: 131
แล้ว,ADVN,O,None,Sentence: 131
นะ,VACT,O,None,Sentence: 131
ครับ,NCMN,O,None,Sentence: 131
เป็น,VSTA,O,None,Sentence: 131
หมึก,NCMN,B-FOOD,None,Sentence: 131
ผัด,NCMN,I-FOOD,None,Sentence: 131
ซอส,NCMN,I-FOOD,None,Sentence: 131
ไข่เค็ม,NCMN,I-FOOD,END,Sentence: 131
หมึก,NCMN,B-FOOD,START,Sentence: 132
ผัด,NCMN,I-FOOD,None,Sentence: 132
ซอส,NCMN,I-FOOD,None,Sentence: 132
ไข่เค็ม,NCMN,I-FOOD,None,Sentence: 132
โต๊ะ,NCMN,O,None,Sentence: 132
5,NCNM,B-TABLE,None,Sentence: 132
เตรียม,VACT,B-COMMAND_1,None,Sentence: 132
แล้ว,XVAE,O,None,Sentence: 132
ครับ,VACT,O,END,Sentence: 132
เตรียม,VACT,B-COMMAND_1,START,Sentence: 133
ให้,JSBR,O,None,Sentence: 133
แล้ว,ADVN,O,None,Sentence: 133
ครับ,VACT,O,None,Sentence: 133
หมึก,NCMN,B-FOOD,None,Sentence: 133
ผัด,NCMN,I-FOOD,None,Sentence: 133
ซอส,NCMN,I-FOOD,None,Sentence: 133
ไข่เค็ม,NCMN,I-FOOD,None,Sentence: 133
โต๊ะ,NCMN,O,None,Sentence: 133
2,NCNM,B-TABLE,END,Sentence: 133
เตรียม,VACT,B-COMMAND_1,START,Sentence: 134
แล้ว,JSBR,O,None,Sentence: 134
ครับ,VACT,O,None,Sentence: 134
โต๊ะ,NCMN,O,None,Sentence: 134
2,NCNM,B-TABLE,None,Sentence: 134
กับ,RPRE,O,None,Sentence: 134
โต๊ะ,NCMN,O,None,Sentence: 134
4,NCNM,B-TABLE,None,Sentence: 134
ออเดอร์,NCMN,O,None,Sentence: 134
เป็น,VSTA,O,None,Sentence: 134
หมึก,NCMN,B-FOOD,None,Sentence: 134
ผัด,NCMN,I-FOOD,None,Sentence: 134
ซอส,NCMN,I-FOOD,None,Sentence: 134
ไข่เค็ม,NCMN,I-FOOD,None,Sentence: 134
ครับ,NCMN,O,END,Sentence: 134
หมึก,NCMN,B-FOOD,START,Sentence: 135
ผัด,NCMN,I-FOOD,None,Sentence: 135
ซอส,NCMN,I-FOOD,None,Sentence: 135
ไข่เค็ม,NCMN,I-FOOD,None,Sentence: 135
โต๊ะ,NCMN,O,None,Sentence: 135
3,NCNM,B-TABLE,None,Sentence: 135
ผม,PPRS,O,None,Sentence: 135
เตรียม,VACT,B-COMMAND_1,None,Sentence: 135
ให้,JSBR,O,None,Sentence: 135
แล้ว,ADVN,O,None,Sentence: 135
ครับ,VACT,O,END,Sentence: 135
หนู,NCMN,O,START,Sentence: 136
เตรียม,VACT,B-COMMAND_1,None,Sentence: 136
ไว้,XVAE,O,None,Sentence: 136
แล้ว,XVAE,O,None,Sentence: 136
ค่ะ,NCMN,O,None,Sentence: 136
หมึก,NCMN,B-FOOD,None,Sentence: 136
ผัด,NCMN,I-FOOD,None,Sentence: 136
ซอส,NCMN,I-FOOD,None,Sentence: 136
ไข่เค็ม,NCMN,I-FOOD,None,Sentence: 136
ออเดอร์,NCMN,O,None,Sentence: 136
ของ,RPRE,O,None,Sentence: 136
โต๊ะ,NCMN,O,None,Sentence: 136
4,NCNM,B-TABLE,None,Sentence: 136
ค่ะ,NCMN,O,END,Sentence: 136
เชฟ,NCMN,O,START,Sentence: 137
ค่ะ,NCMN,O,None,Sentence: 137
หมึก,NCMN,B-FOOD,None,Sentence: 137
ผัด,NCMN,I-FOOD,None,Sentence: 137
ซอส,NCMN,I-FOOD,None,Sentence: 137
ไข่เค็ม,NCMN,I-FOOD,None,Sentence: 137
เตรียม,VACT,B-COMMAND_1,None,Sentence: 137
ให้,JSBR,O,None,Sentence: 137
แล้ว,ADVN,O,None,Sentence: 137
ค้า,VACT,O,None,Sentence: 137
ออเดอร์,NCMN,O,None,Sentence: 137
โต๊ะ,NCMN,O,None,Sentence: 137
5,NCNM,B-TABLE,None,Sentence: 137
กับ,RPRE,O,None,Sentence: 137
โต๊ะ,NCMN,O,None,Sentence: 137
6,NCNM,B-TABLE,END,Sentence: 137
หมึก,NCMN,B-FOOD,START,Sentence: 138
ผัด,NCMN,I-FOOD,None,Sentence: 138
ซอส,NCMN,I-FOOD,None,Sentence: 138
ไข่เค็ม,NCMN,I-FOOD,None,Sentence: 138
ออเดอร์,NCMN,O,None,Sentence: 138
ของ,RPRE,O,None,Sentence: 138
โต๊ะ,NCMN,O,None,Sentence: 138
3,DCNM,B-TABLE,None,Sentence: 138
แล้วก็,CNIT,O,None,Sentence: 138
โต๊ะ,CMTR,O,None,Sentence: 138
4,NCNM,B-TABLE,None,Sentence: 138
เตรียม,VACT,B-COMMAND_1,None,Sentence: 138
ให้,JSBR,O,None,Sentence: 138
แล้ว,ADVN,O,None,Sentence: 138
ครับ,VACT,O,END,Sentence: 138
เชฟ,NCMN,O,START,Sentence: 139
ผม,PPRS,O,None,Sentence: 139
เตรียม,VACT,B-COMMAND_1,None,Sentence: 139
ไว้,XVAE,O,None,Sentence: 139
ให้,XVAE,O,None,Sentence: 139
แล้ว,ADVN,O,None,Sentence: 139
ครับ,VACT,O,None,Sentence: 139
หมึก,NCMN,B-FOOD,None,Sentence: 139
ผัด,NCMN,I-FOOD,None,Sentence: 139
ซอส,NCMN,I-FOOD,None,Sentence: 139
ไข่เค็ม,NCMN,I-FOOD,None,Sentence: 139
โต๊ะ,NCMN,O,None,Sentence: 139
3,NCNM,B-TABLE,None,Sentence: 139
กับ,RPRE,O,None,Sentence: 139
โต๊ะ,NCMN,O,None,Sentence: 139
6,NCNM,B-TABLE,END,Sentence: 139
เตรียม,VACT,B-COMMAND_1,START,Sentence: 140
ให้,JSBR,O,None,Sentence: 140
แล้ว,ADVN,O,None,Sentence: 140
นะ,VACT,O,None,Sentence: 140
ครับ,NCMN,O,None,Sentence: 140
เชฟ,NCMN,O,None,Sentence: 140
หมึก,NCMN,B-FOOD,None,Sentence: 140
ผัด,NCMN,I-FOOD,None,Sentence: 140
ซอส,NCMN,I-FOOD,None,Sentence: 140
ไข่เค็ม,NCMN,I-FOOD,None,Sentence: 140
ของ,RPRE,O,None,Sentence: 140
โต๊ะ,NCMN,O,None,Sentence: 140
9,NCNM,B-TABLE,END,Sentence: 140
หมึก,NCMN,B-FOOD,START,Sentence: 141
ผัด,NCMN,I-FOOD,None,Sentence: 141
ซอส,NCMN,I-FOOD,None,Sentence: 141
ไข่เค็ม,NCMN,I-FOOD,None,Sentence: 141
เตรียม,VACT,B-COMMAND_1,None,Sentence: 141
เสร็จ,ADVN,O,None,Sentence: 141
แล้ว,XVAE,O,None,Sentence: 141
ครับ,VACT,O,None,Sentence: 141
โต๊ะ,NCMN,O,None,Sentence: 141
5,NCNM,B-TABLE,END,Sentence: 141
หมึก,NCMN,B-FOOD,START,Sentence: 142
ผัด,NCMN,I-FOOD,None,Sentence: 142
ซอส,NCMN,I-FOOD,None,Sentence: 142
ไข่เค็ม,NCMN,I-FOOD,None,Sentence: 142
ขา,NCMN,O,None,Sentence: 142
โต๊ะ,NCMN,O,None,Sentence: 142
6,NCNM,B-TABLE,None,Sentence: 142
เตรียม,VACT,B-COMMAND_1,None,Sentence: 142
แล้ว,XVAE,O,None,Sentence: 142
ครับ,VACT,O,END,Sentence: 142
โต๊ะ,NCMN,O,START,Sentence: 143
6,NCNM,B-TABLE,None,Sentence: 143
เตรียม,VACT,B-COMMAND_1,None,Sentence: 143
แล้ว,XVAE,O,None,Sentence: 143
ค้าบ,VACT,O,None,Sentence: 143
หมึก,NCMN,B-FOOD,None,Sentence: 143
ผัด,NCMN,I-FOOD,None,Sentence: 143
ซอส,NCMN,I-FOOD,None,Sentence: 143
ไข่เค็ม,NCMN,I-FOOD,END,Sentence: 143
ผม,PPRS,O,START,Sentence: 144
เตรียม,VACT,B-COMMAND_1,None,Sentence: 144
ไว้,XVAE,O,None,Sentence: 144
แล้ว,XVAE,O,None,Sentence: 144
นะ,ADVN,O,None,Sentence: 144
ครับ,NCMN,O,None,Sentence: 144
หมึก,NCMN,B-FOOD,None,Sentence: 144
ผัด,NCMN,I-FOOD,None,Sentence: 144
ซอส,NCMN,I-FOOD,None,Sentence: 144
ไข่เค็ม,NCMN,I-FOOD,None,Sentence: 144
ออเดอร์,NCMN,O,None,Sentence: 144
ของ,RPRE,O,None,Sentence: 144
โต๊ะ,NCMN,O,None,Sentence: 144
6,NCNM,B-TABLE,END,Sentence: 144
เชฟ,NCMN,O,START,Sentence: 145
ขา,NCMN,O,None,Sentence: 145
หมึก,NCMN,B-FOOD,None,Sentence: 145
ผัด,NCMN,I-FOOD,None,Sentence: 145
ซอส,NCMN,I-FOOD,None,Sentence: 145
ไข่เค็ม,NCMN,I-FOOD,None,Sentence: 145
ออเดอร์,NCMN,O,None,Sentence: 145
ของ,RPRE,O,None,Sentence: 145
โต๊ะ,NCMN,O,None,Sentence: 145
8,DCNM,B-TABLE,None,Sentence: 145
หา,VACT,O,None,Sentence: 145
หนู,NCMN,O,None,Sentence: 145
เตรียม,VACT,B-COMMAND_1,None,Sentence: 145
ให้,JSBR,O,None,Sentence: 145
แล้ว,XVAE,O,None,Sentence: 145
นะคะ,VACT,O,END,Sentence: 145
เตรียม,VACT,B-COMMAND_1,START,Sentence: 146
ไว้,XVAE,O,None,Sentence: 146
ให้,XVAE,O,None,Sentence: 146
แล้ว,ADVN,O,None,Sentence: 146
ค่ะ,VACT,O,None,Sentence: 146
หมึก,NCMN,B-FOOD,None,Sentence: 146
ผัด,NCMN,I-FOOD,None,Sentence: 146
ซอส,NCMN,I-FOOD,None,Sentence: 146
ไข่เค็ม,NCMN,I-FOOD,None,Sentence: 146
โต๊ะ,NCMN,O,None,Sentence: 146
5,NCNM,B-TABLE,END,Sentence: 146
ออเดอร์,NCMN,O,START,Sentence: 147
ของ,RPRE,O,None,Sentence: 147
โต๊ะ,NCMN,O,None,Sentence: 147
6,NCNM,B-TABLE,None,Sentence: 147
ที่,PREL,O,None,Sentence: 147
3,NCNM,B-TABLE,None,Sentence: 147
เป็น,VSTA,O,None,Sentence: 147
หมึก,NCMN,B-FOOD,None,Sentence: 147
ผัด,NCMN,I-FOOD,None,Sentence: 147
ซอส,NCMN,I-FOOD,None,Sentence: 147
ไข่เค็ม,NCMN,I-FOOD,None,Sentence: 147
หมู,NCMN,O,None,Sentence: 147
เตรียม,VACT,B-COMMAND_1,None,Sentence: 147
ไว้,XVAE,O,None,Sentence: 147
